index,tenor,date,fixing
EUR-EURIBOR-Reuters,3M,18/01/2007,0.03754
EUR-EURIBOR-Reuters,6M,18/01/2007,0.03888
EUR-EURIBOR-Reuters,12M,18/01/2007,0.04075
EUR-EONIA-OIS-COMPOUND,1D,19/01/2007,0.0357
EUR-EURIBOR-Reuters,1W,19/01/2007,0.03592
EUR-EURIBOR-Reuters,2W,19/01/2007,0.036
EUR-EURIBOR-Reuters,1M,19/01/2007,0.03613
EUR-EURIBOR-Reuters,3M,19/01/2007,0.03754
EUR-EURIBOR-Reuters,6M,19/01/2007,0.03888
EUR-EURIBOR-Reuters,12M,19/01/2007,0.04072
EUR-EONIA-OIS-COMPOUND,1D,22/01/2007,0.0357
EUR-EURIBOR-Reuters,1W,22/01/2007,0.03592
EUR-EURIBOR-Reuters,2W,22/01/2007,0.036
EUR-EURIBOR-Reuters,1M,22/01/2007,0.03613
EUR-EURIBOR-Reuters,3M,22/01/2007,0.03755
EUR-EURIBOR-Reuters,6M,22/01/2007,0.03893
EUR-EURIBOR-Reuters,12M,22/01/2007,0.0408
EUR-EONIA-OIS-COMPOUND,1D,23/01/2007,0.0357
EUR-EURIBOR-Reuters,1W,23/01/2007,0.03593
EUR-EURIBOR-Reuters,2W,23/01/2007,0.036
EUR-EURIBOR-Reuters,1M,23/01/2007,0.03613
EUR-EURIBOR-Reuters,3M,23/01/2007,0.03757
EUR-EURIBOR-Reuters,6M,23/01/2007,0.03896
EUR-EURIBOR-Reuters,12M,23/01/2007,0.04074
EUR-EONIA-OIS-COMPOUND,1D,24/01/2007,0.0357
EUR-EURIBOR-Reuters,1W,24/01/2007,0.03594
EUR-EURIBOR-Reuters,2W,24/01/2007,0.036
EUR-EURIBOR-Reuters,1M,24/01/2007,0.03613
EUR-EURIBOR-Reuters,3M,24/01/2007,0.03756
EUR-EURIBOR-Reuters,6M,24/01/2007,0.03906
EUR-EURIBOR-Reuters,12M,24/01/2007,0.04076
EUR-EONIA-OIS-COMPOUND,1D,25/01/2007,0.0357
EUR-EURIBOR-Reuters,1W,25/01/2007,0.03595
EUR-EURIBOR-Reuters,2W,25/01/2007,0.03601
EUR-EURIBOR-Reuters,1M,25/01/2007,0.03613
EUR-EURIBOR-Reuters,3M,25/01/2007,0.03769
EUR-EURIBOR-Reuters,6M,25/01/2007,0.03914
EUR-EURIBOR-Reuters,12M,25/01/2007,0.04079
EUR-EONIA-OIS-COMPOUND,1D,26/01/2007,0.0357
EUR-EURIBOR-Reuters,1W,26/01/2007,0.03594
EUR-EURIBOR-Reuters,2W,26/01/2007,0.036
EUR-EURIBOR-Reuters,1M,26/01/2007,0.03614
EUR-EURIBOR-Reuters,3M,26/01/2007,0.03772
EUR-EURIBOR-Reuters,6M,26/01/2007,0.03916
EUR-EURIBOR-Reuters,12M,26/01/2007,0.0409
EUR-EONIA-OIS-COMPOUND,1D,29/01/2007,0.0357
EUR-EURIBOR-Reuters,1W,29/01/2007,0.03593
EUR-EURIBOR-Reuters,2W,29/01/2007,0.03596
EUR-EURIBOR-Reuters,1M,29/01/2007,0.03614
EUR-EURIBOR-Reuters,3M,29/01/2007,0.03775
EUR-EURIBOR-Reuters,6M,29/01/2007,0.0392
EUR-EURIBOR-Reuters,12M,29/01/2007,0.04092
EUR-EONIA-OIS-COMPOUND,1D,30/01/2007,0.0357
EUR-EURIBOR-Reuters,1W,30/01/2007,0.03592
EUR-EURIBOR-Reuters,2W,30/01/2007,0.03598
EUR-EURIBOR-Reuters,1M,30/01/2007,0.03614
EUR-EURIBOR-Reuters,3M,30/01/2007,0.03781
EUR-EURIBOR-Reuters,6M,30/01/2007,0.03921
EUR-EURIBOR-Reuters,12M,30/01/2007,0.04096
EUR-EONIA-OIS-COMPOUND,1D,31/01/2007,0.0359
EUR-EURIBOR-Reuters,1W,31/01/2007,0.03588
EUR-EURIBOR-Reuters,2W,31/01/2007,0.03595
EUR-EURIBOR-Reuters,1M,31/01/2007,0.03613
EUR-EURIBOR-Reuters,3M,31/01/2007,0.03782
EUR-EURIBOR-Reuters,6M,31/01/2007,0.03922
EUR-EURIBOR-Reuters,12M,31/01/2007,0.04097
EUR-EONIA-OIS-COMPOUND,1D,01/02/2007,0.0357
EUR-EURIBOR-Reuters,1W,01/02/2007,0.03587
EUR-EURIBOR-Reuters,2W,01/02/2007,0.03593
EUR-EURIBOR-Reuters,1M,01/02/2007,0.03609
EUR-EURIBOR-Reuters,3M,01/02/2007,0.03785
EUR-EURIBOR-Reuters,6M,01/02/2007,0.03923
EUR-EURIBOR-Reuters,12M,01/02/2007,0.0408
EUR-EONIA-OIS-COMPOUND,1D,02/02/2007,0.0356
EUR-EURIBOR-Reuters,1W,02/02/2007,0.03586
EUR-EURIBOR-Reuters,2W,02/02/2007,0.03592
EUR-EURIBOR-Reuters,1M,02/02/2007,0.03609
EUR-EURIBOR-Reuters,3M,02/02/2007,0.03788
EUR-EURIBOR-Reuters,6M,02/02/2007,0.03924
EUR-EURIBOR-Reuters,12M,02/02/2007,0.04089
EUR-EONIA-OIS-COMPOUND,1D,05/02/2007,0.0356
EUR-EURIBOR-Reuters,1W,05/02/2007,0.03583
EUR-EURIBOR-Reuters,2W,05/02/2007,0.0359
EUR-EURIBOR-Reuters,1M,05/02/2007,0.03607
EUR-EURIBOR-Reuters,3M,05/02/2007,0.0378
EUR-EURIBOR-Reuters,6M,05/02/2007,0.03908
EUR-EURIBOR-Reuters,12M,05/02/2007,0.04054
EUR-EONIA-OIS-COMPOUND,1D,06/02/2007,0.0355
EUR-EURIBOR-Reuters,1W,06/02/2007,0.03574
EUR-EURIBOR-Reuters,2W,06/02/2007,0.03584
EUR-EURIBOR-Reuters,1M,06/02/2007,0.03607
EUR-EURIBOR-Reuters,3M,06/02/2007,0.03784
EUR-EURIBOR-Reuters,6M,06/02/2007,0.03913
EUR-EURIBOR-Reuters,12M,06/02/2007,0.04056
EUR-EONIA-OIS-COMPOUND,1D,07/02/2007,0.0353
EUR-EURIBOR-Reuters,1W,07/02/2007,0.03567
EUR-EURIBOR-Reuters,2W,07/02/2007,0.03582
EUR-EURIBOR-Reuters,1M,07/02/2007,0.03607
EUR-EURIBOR-Reuters,3M,07/02/2007,0.03786
EUR-EURIBOR-Reuters,6M,07/02/2007,0.0392
EUR-EURIBOR-Reuters,12M,07/02/2007,0.04065
EUR-EONIA-OIS-COMPOUND,1D,08/02/2007,0.0353
EUR-EURIBOR-Reuters,1W,08/02/2007,0.03579
EUR-EURIBOR-Reuters,2W,08/02/2007,0.03585
EUR-EURIBOR-Reuters,1M,08/02/2007,0.03606
EUR-EURIBOR-Reuters,3M,08/02/2007,0.03803
EUR-EURIBOR-Reuters,6M,08/02/2007,0.03931
EUR-EURIBOR-Reuters,12M,08/02/2007,0.04078
EUR-EONIA-OIS-COMPOUND,1D,09/02/2007,0.0354
EUR-EURIBOR-Reuters,1W,09/02/2007,0.03584
EUR-EURIBOR-Reuters,2W,09/02/2007,0.03588
EUR-EURIBOR-Reuters,1M,09/02/2007,0.03606
EUR-EURIBOR-Reuters,3M,09/02/2007,0.03806
EUR-EURIBOR-Reuters,6M,09/02/2007,0.03941
EUR-EURIBOR-Reuters,12M,09/02/2007,0.041
EUR-EONIA-OIS-COMPOUND,1D,12/02/2007,0.0355
EUR-EURIBOR-Reuters,1W,12/02/2007,0.03584
EUR-EURIBOR-Reuters,2W,12/02/2007,0.03592
EUR-EURIBOR-Reuters,1M,12/02/2007,0.03607
